catNum,dup
387,Lpa000387
387,LPb000387
387,Sco000387
518,Ara000518
518,Sco000518
562,Sco000562
562,Sol000562
709,Lpa000709
709,LPb000709
709,Sco000709
807,aaa000807
807,Sco000807
808,aaa000808
808,Sco000808
818,aaa000818
818,DDD000818
827,aaa000827
827,Sco000827
828,aaa000828
828,Sco000828
959,DDD000959
959,Sco000959
980,DDD000980
980,Sco000980
996,Lpa000996
996,LPb000996
996,Sco000996
1263,Lpa001263
1263,LPb001263
1263,Sco001263
1413,DDD001413
1413,Sco001413
1616,Sco001616
1616,Sol001616
2016,Sco002016
2016,Sol002016
2175,Sco002175
2175,Sol002175
2184,DDD002184
2184,Sco002184
2187,DDD002187
2187,Sco002187
2254,DDD002254
2254,Sco002254
2255,DDD002255
2255,Sco002255
2263,Lpa002263
2263,LPb002263
2263,Sco002263
2264,Lpa002264
2264,LPb002264
2264,LPc002264
2280,DDD002280
2280,Sco002280
2281,DDD002281
2281,Sco002281
2430,Lpa002430
2430,LPb002430
2430,Sco002430
2561,Sco002561
2561,Sol002561
3545,Cru003545
3545,DDD003545
3558,Cru003558
3558,DDD003558
3577,Cru003577
3577,DDD003577
3578,Cru003578
3578,DDD003578
3597,Cru003597
3597,DDD003597
3625,Cru003625
3625,DDD003625
3858,Ara003858
3858,Sco003858
4252,Ara004252
4252,Sco004252
4818,Ara004818
4818,Sco004818
5135,Lpa005135
5135,LPb005135
5135,Sco005135
5308,Ara005308
5308,Sol005308
5617,Ara005617
5617,Sco005617
5728,DDD005728
5728,Sco005728
5730,DDD005730
5730,Sco005730
5750,Ara005750
5750,Sco005750
5751,Ara005751
5751,Sco005751
5752,Ara005752
5752,Sco005752
5753,Ara005753
5753,Sco005753
5754,Ara005754
5754,Sco005754
5756,DDD005756
5756,Sol005756
5784,Ara005784
5784,Sco005784
5907,Ara005907
5907,DDD005907
6091,Lpa006091
6091,LPb006091
6091,Sco006091
6106,Lpa006106
6106,LPb006106
6106,Sco006106
6139,Cen006139
6139,Sco006139
6202,Ara006202
6202,DDD006202
6203,Ara006203
6203,DDD006203
6265,Lpa006265
6265,LPb006265
6265,Sco006265
6322,DDD006322
6322,Sco006322
6343,Ara006343
6343,DDD006343
6401,Lpa006401
6401,LPb006401
6624,Amb006624
6624,DDD006624
6625,Ara006625
6625,DDD006625
6710,Cen006710
6710,DDD006710
6746,Cen006746
6746,DDD006746
6835,Cen006835
6835,DDD006835
6916,Cen006916
6916,DDD006916
6919,Cen006919
6919,DDD006919
6946,Cen006946
6946,DDD006946
7357,Ara007357
7357,Sol007357
7370,Ara007370
7370,Sco007370
7377,DDa007377
7377,DDb007377
7539,Cen007539
7539,Sco007539
7550,Cen007550
7550,Sco007550
7600,Cen007600
7600,Sco007600
7833,Cen007833
7833,DDD007833
7834,DDD007834
7834,Sco007834
7945,Cen007945
7945,DDD007945
7994,Ara007994
7994,DDD007994
8233,Cru008233
8233,Sol008233
8567,Lpa008567
8567,LPb008567
8567,Sco008567
8588,DDa008588
8588,DDb008588
8594,DDa008594
8594,DDb008594
8594,DDc008594
8599,DDa008599
8599,DDb008599
8607,Ara008607
8607,Sol008607
8610,Ara008610
8610,Sol008610
8616,Ara008616
8616,Sco008616
8636,Ara008636
8636,Sco008636
8636,Sol008636
8873,Pse008873
8873,Sco008873
8901,DDa008901
8901,DDb008901
8914,Cen008914
8914,Sco008914
8927,DDD008927
8927,Sco008927
9082,Ara009082
9082,DDD009082
9131,DDD009131
9131,Ixo009131
9160,Ara009160
9160,Sco009160
9161,DDa009161
9161,DDb009161
9218,Ara009218
9218,DDD009218
9333,DDa009333
9333,DDb009333
9337,DDD009337
9337,Sco009337
9338,DDD009338
9338,Sco009338
9509,Lpa009509
9509,LPb009509
9509,Sco009509
9651,DDD009651
9651,Sco009651
9683,DDD009683
9683,Sco009683
9684,DDD009684
9684,Sco009684
9685,DDD009685
9685,Sco009685
9686,DDD009686
9686,Sco009686
9695,DDD009695
9695,Sco009695
9829,DDD009829
9829,Sco009829
9830,DDD009830
9830,Sco009830
10072,DDD010072
10072,Lpa010072
10072,LPb010072
10072,Sco010072
10073,Lpa010073
10073,LPb010073
10073,Sco010073
10074,Lpa010074
10074,LPb010074
10074,Sco010074
10116,DDD010116
10116,Sco010116
10208,aaa010208
10208,Sol010208
10301,Ara010301
10301,DDD010301
10614,Ara010614
10614,DDD010614
10628,DDD010628
10628,Sol010628
10931,Ara010931
10931,Sol010931
11630,aaa011630
11630,Sco011630
11933,DDD011933
11933,Sol011933
12053,aaa012053
12053,Sol012053
12265,Lpa012265
12265,LPb012265
12265,Sco012265
12305,Lpa012305
12305,LPb012305
12305,Sco012305
12497,Sco012497
12497,Sol012497
12559,aaa012559
12559,Sol012559
12620,Lpa012620
12620,LPb012620
12620,Sco012620
12630,Lpa012630
12630,LPb012630
12641,Lpa012641
12641,LPb012641
12641,LPc012641
12641,Sco012641
12741,Ara012741
12741,Sol012741
13435,Ara013435
13435,DDD013435
13436,Ara013436
13436,DDD013436
13437,Ara013437
13437,DDD013437
13438,Ara013438
13438,DDD013438
13439,Ara013439
13439,DDD013439
13440,Ara013440
13440,DDD013440
13441,Ara013441
13441,DDD013441
13442,Ara013442
13442,DDD013442
13500,Ara013500
13500,DDD013500
13501,Ara013501
13501,DDD013501
13502,Ara013502
13502,DDD013502
13911,Ara013911
13911,Sco013911
13995,Ara013995
13995,DDD013995
13996,Ara013996
13996,DDD013996
13997,Ara013997
13997,DDD013997
13998,Ara013998
13998,DDD013998
13999,Ara013999
13999,DDD013999
14000,Ara014000
14000,DDD014000
14001,Ara014001
14001,DDD014001
14002,Ara014002
14002,DDD014002
14003,Ara014003
14003,DDD014003
14004,Ara014004
14004,DDD014004
14005,Ara014005
14005,DDD014005
14006,Ara014006
14006,DDD014006
14007,Ara014007
14007,DDD014007
14008,Ara014008
14008,DDD014008
14135,Ara014135
14135,Sol014135
14271,Sco014271
14271,Sol014271
14274,Sco014274
14274,Sol014274
14279,Ara014279
14279,Sco014279
14348,DDD014348
14348,Sol014348
14378,Cen014378
14378,Sco014378
14402,Ara014402
14402,Sco014402
14613,Ara014613
14613,Sol014613
14623,Ara014623
14623,Sol014623
14625,Ara014625
14625,Sol014625
14627,Ara014627
14627,Sol014627
14631,Ara014631
14631,Sol014631
14659,DDa014659
14659,DDb014659
14671,Ara014671
14671,Sco014671
14788,Ara014788
14788,DDD014788
14861,DDD014861
14861,Sar014861
14921,Ara014921
14921,Sol014921
14929,DDD014929
14929,Sco014929
14930,DDD014930
14930,Sco014930
14931,DDD014931
14931,Sco014931
14936,Lpa014936
14936,LPb014936
14936,Sco014936
15084,DDD015084
15084,Sco015084
15100,DDD015100
15100,Sco015100
15101,DDD015101
15101,Sco015101
15102,DDD015102
15102,Sco015102
15103,DDD015103
15103,Sco015103
15104,DDD015104
15104,Sco015104
15153,Ara015153
15153,Sol015153
15694,Ara015694
15694,DDD015694
15695,Ara015695
15695,DDD015695
15796,Mil015796
15796,Sco015796
16251,DDD016251
16251,Mil016251
16270,Ara016270
16270,Sol016270
16451,Cen016451
16451,DDD016451
16505,Ara016505
16505,Sol016505
16510,Ara016510
16510,Sol016510
16614,Aca016614
16614,DDD016614
16615,aaa016615
16615,DDD016615
16616,aaa016616
16616,DDD016616
16617,aaa016617
16617,DDD016617
16618,aaa016618
16618,DDD016618
16619,aaa016619
16619,DDD016619
16620,aaa016620
16620,DDD016620
16621,DDD016621
16621,INV016621
16622,aaa016622
16622,DDD016622
16623,aaa016623
16623,DDD016623
16624,DDD016624
16624,INV016624
16625,aaa016625
16625,DDD016625
16626,aaa016626
16626,DDD016626
16627,aaa016627
16627,DDD016627
16628,aaa016628
16628,DDD016628
16629,aaa016629
16629,DDD016629
16834,DDD016834
16834,Mil016834
16835,DDD016835
16835,Pil016835
16982,Cen016982
16982,Sco016982
17053,Ara017053
