catalogNumber,verbatimDet
aaa000807,Undetermined
aaa000808,Undetermined
aaa000809,Undetermined
aaa000811,Undetermined
aaa000812,Undetermined
aaa000813,Undetermined
aaa000814,Undetermined
aaa000815,Undetermined
aaa000816,Undetermined
aaa000817,Undetermined
aaa000818,Undetermined
aaa000819,Undetermined
aaa000820,Undetermined
aaa000821,Undetermined
aaa000822,Undetermined
aaa000823,Undetermined
aaa000824,Undetermined
aaa000825,Undetermined
aaa000826,Undetermined
aaa000827,Undetermined
aaa000828,Undetermined
aaa000829,Undetermined
aaa000830,Undetermined
aaa000831,Undetermined
aaa000832,Undetermined
aaa001520,Salpa earboti
aaa001528,Clara leptostyla
aaa001541,Septatinas tenera
aaa001542,Tuberlaria
aaa001556,Gomonemus verlins
aaa001557,Syncauda ciliata
aaa001563,Bollenia reniformis
aaa001564,Bollenia reniformis
aaa003364,Pichemnus xanthoides
aaa003365,Pichemnus xanthoides
aaa003366,Pichemnus xanthoides
aaa003373,Galeminus elegans
aaa003376,Luieosia
aaa003381,Xonthas
aaa003382,Xonthas
aaa003435,Uniculus lyricus
aaa003439,Zorynus aeneus
aaa003440,Zorynus aeneus
aaa003441,Zorynus aeneus
aaa003528,Garupa laevuiscula
aaa003529,Garupa laevuiscula
aaa003530,Garupa laevuiscula
aaa003531,Garupa laevuiscula
aaa003532,Garupa laevuiscula
aaa003670,Panopacus dentatus
aaa003671,Panopacus dentatus
aaa003672,Panopacus dentatus
aaa003743,Calamus tubicen
aaa003744,Calamus tubicen
aaa003745,Calamus tubicen
aaa003792,Caleimus
aaa003793,Caleimus
aaa003823,Axia
aaa003824,Axia
aaa003825,Axia
aaa004836,Eoeyzicus gigas
aaa004904,"Cheriduim ferum|Determined by: M. Judson, 1989"
aaa004921,Garinoplax longimanus
aaa004983,Buritoa
aaa004984,Natalina
aaa005069,No info
aaa005451,Luminada medusae
aaa005452,Luminada medusae
aaa006216,Lice
aaa006228,Lice
aaa006340,Polygonaica lawrencei
aaa006373,No info
aaa007372,oscarids
aaa007373,oscarids
aaa007818,Imarcus
aaa007909,No info
aaa007937,Oriabatidae
aaa007940,Lice
aaa007956,No info
aaa008221,Spirostreptinid|Determined by: R.F. Lawrence
aaa008222,Cherastus|Determined by: R.F. Lawrence
aaa008692,Thedusas
aaa008744,No info
aaa008755,Worms
aaa008757,Worms
aaa008758,Worms
aaa008781,Worms
aaa008785,Worms
aaa008850,5 Perupefus
aaa008984,Ant lion larvae
aaa009077,2 Cheliferae
aaa009105,3 chelifarae
aaa009316,Ixoderma inverta
aaa009320,Espirodrilus allansoni
aaa009336,Hemiphrymus madiadoi
aaa009590,No info
aaa009779,No info
aaa009782,No info
aaa010192,Worms
aaa010208,No info
aaa010298,No info
aaa010303,No info
aaa010433,No info
aaa010587,No info
aaa010716,Tuitana
aaa010735,Tuitana
aaa010736,Tuitana
aaa010778,Tuitana
aaa010832,Tuitana
aaa011000,sheu
aaa011041,Shell
aaa011152,Gardius
aaa011164,Vrylewende worm
aaa011175,Shells
aaa011203,Small white shells
aaa011207,Shell
aaa011212,Shells
aaa011213,Shells
aaa011216,Shells
aaa011217,Shells
aaa011227,Shells
aaa011228,Shells
aaa011240,Shells
aaa011270,Sluglike rhing
aaa011278,Shell
aaa011393,Immature specimen
aaa011398,Immature specimen
aaa011630,No info
aaa012053,Urap
aaa012061,Gordius
aaa012409,Insects
aaa012410,Insects
aaa012559,No info
aaa012705,No info
aaa012724,Bugs
aaa015400,No info
aaa015880,Dometrina lata
aaa015915,Sandflea
aaa015916,Sandflea
aaa015917,Sandflea
aaa015918,Sandflea
aaa015919,Sandflea
aaa015920,Sandflea
aaa015921,Sandflea
aaa015922,Sandflea
aaa015923,Sandflea
aaa015924,Sandflea
aaa015925,Sandflea
aaa015926,Sandflea
aaa015988,Sandflea
aaa015989,Sandflea
aaa015990,Sandflea
aaa015991,Sandflea
aaa015992,Sandflea
aaa015993,Sandflea
aaa015994,Sandflea
aaa015995,Sandflea
aaa015996,Sandflea
aaa015997,Sandflea
aaa015998,Sandflea
aaa015999,Sandflea
aaa016000,Sandflea
aaa016001,Sandflea
aaa016002,Sandflea
aaa016003,Sandflea
aaa016004,Sandflea
aaa016005,Sandflea
aaa016006,Sandflea
aaa016007,Sandflea
aaa016008,Sandflea
aaa016009,Sandflea
aaa016010,Sandflea
aaa016011,Sandflea
aaa016012,Sandflea
aaa016013,Sandflea
aaa016489,No info
aaa016532,Vertebrata
aaa016533,Vertebrata
aaa016534,Vertebrata
aaa016540,Invertebrates
aaa016542,Invertebrates
aaa016546,Invertebrates
aaa016549,Invertebrates
aaa016612,Parasites
aaa016613,Parasites
aaa016615,Parasites
aaa016616,Parasites
aaa016617,Parasites
aaa016618,Parasites
aaa016619,Parasites
aaa016620,Parasites
aaa016622,Parasites
aaa016623,Parasites
aaa016625,Parasites
aaa016626,Parasites
aaa016627,Parasites
aaa016628,Parasites
aaa016629,Parasites
aaa016630,Parasites
aaa016631,Parasites
aaa016632,Parasites
aaa016633,Parasites
aaa016634,Parasites
aaa016683,Invertebrates
aaa017001,Parasites
aaa017002,Parasites
aaa020045,Negrorones rhodensians
aaa020046,Negrorones rhodensians
aaa020408,Worms
aaa020409,Worms
aaa021109,Worms
aaa021111,Worms
aaa021113,Worms
aaa021143,Worms
aaa021548,Worms
aax014451,Pedipalpi
Aca005218,"Acari, Red Tick"
Aca005888,"Acari, Red Tick|Determined by: B. Levy"
Aca005889,"Acari, Red Ticks|Determined by: P. van der Heever"
Aca005890,"Acari, Red Ticks|Determined by: A. Roberts"
Aca005898,"Acari, Mites|Determined by: V. Fitzsimons"
Aca005900,"Acari, Tick & eggs|Determined by: V. Fitzsimons"
Aca005903,"Acari, Mites|Determined by: V. Fitzsimons"
Aca006104,"Acari, Red Ticks"
Aca006175,Red Tick
Aca006179,Red Tick
Aca006215,Cattle ticks
Aca006371,"Acari, Red Ticks|Determined by: F. O. Noome"
Aca006521,Flat ticks
Aca007430,"Acari, Red Ticks|Determined by: W. Oosterhuis"
Aca007431,"Acari, Red Ticks|Determined by: M.J. van Hardt"
Aca007447,"Acari, Tick"
Aca007781,Ticks
Aca007839,Tick
Aca007882,Tick
Aca007888,"Acari, Ticks"
Aca007904,Tick
Aca007914,"Acari, Water Ticks"
Aca007936,Red mites
Aca007939,Ticks
Aca007957,Red mites
Aca007966,Ticks
Aca007985,Ticks
Aca008203,"Acari, Ticks"
Aca008225,"Acari, Ticks"
Aca008301,Termite Queen
Aca008754,"Acari, Ticks"
