dwc:occurrenceID,dwc:basisOfRecord,dcterms:modified,dwc:institutionCode,dwc:collectionCode,dwc:catalogNumber,dwc:recordNumber,dwc:fieldNumber,dwc:recordedBy,dwc:organismQuantity,dwc:organismQuantityType,dwc:preparations,dwc:kingdom,dwc:phylum,dwc:class,dwc:order,dwc:family,dwc:genus,dwc:specificEpithet,dwc:infraspecificEpithet,dwc:scientificName,dwc:scientificNameAuthorship,dwc:taxonRank,dwc:taxonomicStatus,dwc:typeStatus,dwc:identifiedBy,dwc:identificationRemarks,dwc:verbatimCoordinates,dwc:locality,dwc:decimalLatitude,dwc:decimalLongitude,dwc:georeferencedBy,dwc:georeferenceVerificationStatus,dwc:verbatimEventDate,dwc:eventDate,dwc:year,dwc:month,dwc:day,dwc:eventRemarks,dwc:occurrenceRemarks
0a5c851d-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,54180,,26/10/1979_Mabyeni Hill,"Jacobsen, N.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Amphibia,Anura,Bufonidae,Poyntonophrynus,fenoulheti,,"Poyntonophrynus fenoulheti (Hewitt & Methuen, 1912)","(Hewitt & Methuen, 1912)",species,accepted,,,Bufo fenoulheti fenoulheti,"22° 21' S 31° 5' E",Mabyeni Hill,-22.3500000000,31.0833333333,administrator,Unchecked,DD: MM: YYYY:261079,1979-10-26,1979,10,26,Jacobson,
089f47cf-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,35694,,"07/09/1968_Kliprand, 3 Km N","Haacke, W.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Cordylidae,Cordylus,polyzonus,,"Cordylus polyzonus Smith, 1838","Smith, 1838",species,accepted,,,Cordylus polyzonus,"30° 33' S 18° 41' E","Kliprand, 3 Km N",-30.5500000000,18.6833333333,administrator,Unchecked,DD:07 MM:09 YYYY:1968,1968-09-07,1968,09,07,WD Haacke,
05ed6dd1-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,4930,,no_date_Peterburg,"Ward-Cox, F.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Typhlopidae,Afrotyphlops,schlegelii,,"Afrotyphlops schlegelii (Bianconi, 1847)","(Bianconi, 1847)",species,accepted,,,Rhinotyphlops schlegelii schlegelii,,Peterburg,,,,,DD:0 MM:0 YYYY:0,,,,,F. WARD COX,
04d5de38-2c84-455c-b721-7c1d990e1653,PreservedSpecimen,2018-10-03T09:48:44.000Z,Ditsong,Herpetology,31073,,,"Haacke, W.D.",,individuals,Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Pachydactylus,bibronii,,"Pachydactylus bibronii Boulenger, 1885","Boulenger, 1885",species,accepted,,,Pachydactylus bibronii,,"Shakawe on Okavango River, Ngamiland, Bechuanaland, Botswana",,,,,Year: 1965; Month: 04; Day: 21,1965-04-21,1965,04,21,,
0b4d593f-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,58727,,13/01/1980_Farm Uitkomst,"Jacobsen, N.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Lygodactylus,,Lygodactylus capensis,Lygodactylus capensis capensis,,subspecies,accepted,,,Lygodactylus capensis capensis,,Farm Uitkomst,,,,,DD:13 MM:01 YYYY:1980,1980-01-13,1980,01,13,NHG Jacobsen,
0b392e9f-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,57465,,27/02/1984_Mederhorst Station,"Hunter, J.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Scincidae,Mabuya,,Mabuya striata,Mabuya striata punctatissima,,subspecies,accepted,,,Trachylepis striata punctatissima,"25° 22' S 30° 8' E",Mederhorst Station,-25.3666666666,30.1333333333,administrator,Unchecked,DD:27 MM:02 YYYY:1984,1984-02-27,1984,02,27,J HURTER,
0ce9cb38-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,72781,N7393,24/06/1981_Tshipise,"Jacobsen, N.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Pachydactylus,punctatus,,"Pachydactylus punctatus Peters, 1854","Peters, 1854",species,accepted,,,Pachydactylus punctatus,"22° 36' S 30° 10' E",Tshipise,-22.6000000000,30.1666666666,administrator,Unchecked,DD:24 MM:06 YYYY:1981,1981-06-24,1981,06,24,NHG Jacobsen,
071f0554-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,19967,,04/11/1940_Grootvadersbosch,"Fitzsimmons, V.F.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Strongylopus,bonaespei,,"Strongylopus bonaespei (Dubois, 1981)","(Dubois, 1981)",species,accepted,"paratype of Strongylopus bonaespei (Dubois, 1981)",,Strongylopus bonaspei,"33° 59' S 20° 48' E",Grootvadersbosch,-33.9833333333,20.8000000000,administrator,Unchecked,DD:4 MM:11 YYYY:1940,1940-11-04,1940,11,04,V FitzSimons,
0e389cf2-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,85274,NHGJ26,no_date_Vilanculos Coastal Wildlife Sa,"Jacobsen, N.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Amphibia,Anura,Phrynobatrachidae,Phrynobatrachus,mababiensis,,"Phrynobatrachus mababiensis FitzSimons, 1932","FitzSimons, 1932",species,accepted,,,Phrynobatrachus mababiensis,,"Vilanculos Coastal Wildlife Sanctury, Vilanculos",,,,,DD:0 MM:0 YYYY:0,,,,,NHG Jacobsen,
08d3f28f-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,40724,,"07/04/1971_Kakola Windmill, 20 Km W of Io","Haacke, W.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Scincidae,Typhlacontias,,Typhlacontias punctatissimus,Typhlacontias punctatissimus bogerti,,subspecies,accepted,,,check determination,,"Kakola Windmill, 20 Km W of Iona",,,,,DD:07 MM:04 YYYY:1971,1971-04-07,1971,04,07,WD Haacke,
06cf2675-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,16007,,"04/01/1934_Farm Salique, 427",Gildenhuys,1,individuals,1 Ethanol (70%),Animalia,Chordata,Amphibia,Anura,Hyperoliidae,Hyperolius,,Hyperolius marmoratus,Hyperolius marmoratus marmoratus,,subspecies,accepted,,,Hyperolius marmoratus marmoratus,"24° 36' S 30° 51' E","Farm Salique, 427",-24.6000000000,30.8500000000,administrator,Unchecked,DD:4 MM:01 YYYY:1934,1934-01-04,1934,01,04,Gildenhuys,
06c896d2-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,15505,,15/04/1933_Nossob & Anob River Confluence,"Fitzsimmons, V.F.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Lacertidae,Pedioplanis,namaquensis,,"Pedioplanis namaquensis (Duméril & Bibron, 1839)","(Duméril & Bibron, 1839)",species,accepted,,,Pedioplanis namaquensis,"26° 26' S 20° 37' E","Nossob & Anob River Confluence, Kalahari Gemsbok National Park",-26.4333333333,20.6166666666,administrator,Unchecked,DD:15 MM:04 YYYY:1933,1933-04-15,1933,04,15,V FITZSIMONS,
0a53908e-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,53434,,26/08/1979_Farm Welgevonden,"Bourquin, O.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Scincidae,Mabuya,,Mabuya striata,Mabuya striata punctatissima,,subspecies,accepted,,,Trachylepis striata punctatissima,,Farm Welgevonden,,,,,DD:26 MM:08 YYYY:1979,1979-08-26,1979,08,26,O Bourquin,
0cd787a8-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,71259,,"11/03/1992_Okombami, Near 36 Km NW Etengw","Jager, U.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Viperidae,Bitis,,Bitis arietans,Bitis arietans arietans,,subspecies,accepted,,,Bitis arietans arietans,"17° 15' S 12° 50' E","Okombami, Near 36 Km NW Etengwa, Kaokoveld",-17.2500000000,12.8333333333,administrator,Unchecked,DD:11 MM:03 YYYY:1992,1992-03-11,1992,03,11,U Jager,
0cb7d146-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,67639,,"27/04/1988_Henties Bay, 44 Km E","Gordon, D.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Pachydactylus,scherzi,,"Pachydactylus scherzi Mertens, 1954","Mertens, 1954",species,accepted,,,check determination,"21° 59' S 14° 38' E","Henties Bay, 44 Km E",-21.9833333333,14.6333333333,administrator,Unchecked,DD:27 MM:04 YYYY:1988,1988-04-27,1988,04,27,D GORDON,
09fc4ab9-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,50020,,20/09/1971_Memorial Gate 5 Km from,"Whateley, A.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Lamprophiidae,Mehelya,,Mehelya capensis,Mehelya capensis capensis,,subspecies,accepted,,,Mehelya capensis capensis,,Memorial Gate 5 Km from,,,,,DD:20 MM:09 YYYY:1971,1971-09-20,1971,09,20,A WHATELEY,
08ba8ce9-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,38518,,"17/04/1970_Makambu, on Okavango River","Haacke, W.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Viperidae,Bitis,,Bitis arietans,Bitis arietans arietans,,subspecies,accepted,,,Bitis arietans arietans,"17° 27' S 18° 27' E","Makambu, on Okavango River",-17.4500000000,18.4500000000,administrator,Unchecked,DD:17 MM:04 YYYY:1970,1970-04-17,1970,04,17,WD Haacke,
0b6d1e44-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,61497,,17/05/1980_Farm Lillie,"Jacobsen, N.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Lacertidae,Ichnotropis,squamulosa,,"Ichnotropis squamulosa Peters, 1854","Peters, 1854",species,accepted,,,Ichnotropis squamulosa,,Farm Lillie,,,,,DD:17 MM:05 YYYY:1980,1980-05-17,1980,05,17,N JACOBSON,
0d0dfb24-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,75659,,01/08/1981_Burgersdorp,"Jacobsen, N.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Typhlopidae,Rhinotyphlops,lalandei,,"Rhinotyphlops lalandei (Schlegel, 1839)","(Schlegel, 1839)",species,accepted,,,Rhinotyphlops lalandei,"30° 59' S 26° 19' E",Burgersdorp,-30.9833333333,26.3166666666,administrator,Unchecked,DD:0 MM:08 YYYY:1981,1981-08,1981,08,,N. JACOBSEN,
09c026ba-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,44780,,11/04/1974_Hauchab-Awasib Mtns,"Finkeldey, H.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Lacertidae,Meroles,cuneirostris,,"Meroles cuneirostris (Strauch, 1867)","(Strauch, 1867)",species,accepted,,,Meroles cuneirostris,,Hauchab-Awasib Mtns,,,,,DD:11 MM:04 YYYY:1974,1974-04-11,1974,04,11,H Finkelday,
08be4b83-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,38823,,27/04/1970_Andowa,"Haacke, W.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Lygodactylus,bradfieldi,,"Lygodactylus bradfieldi Hewitt, 1932","Hewitt, 1932",species,accepted,,,Lygodactylus bradfieldi,"17° 16' S 13° 11' E",Andowa,-17.2666666666,13.1833333333,administrator,Unchecked,DD:27 MM:04 YYYY:1970,1970-04-27,1970,04,27,WD Haacke,
0cf9f074-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,74092,N5787,"24/02/1981_Farm Buffelshoek, 171","Jacobsen, N.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Cordylidae,Cordylus,vittifer,,"Cordylus vittifer (Reichenow, 1887)","(Reichenow, 1887)",species,accepted,,,Cordylus vittifer,,"Farm Buffelshoek, 171",,,,,DD:24 MM:02 YYYY:1981,1981-02-24,1981,02,24,NHG Jacobsen,
