taxonid,fullname,Author
1471,Abarbatia pistachia,
1473,Acanthina brevidentata,
1474,Acanthina lapilloides,
1477,Acanthina muricata,
1480,Acanthina tuberculata,
1487,Acera soluta,
1509,Acrosterigma flavum,
1510,Actaeopyramis natalensis,
1511,Acteocina avanaria,
1512,Acteocina belli,
1514,Acteocina meridionalis,
1516,Acteon punctocaelatus,
1517,Actinonaias carinata,
1521,Aeolidiella indica,
1522,Aequipecten circularis,
1523,Aequipecten gibbus,
1524,Aequipecten irradians,
1525,Aequipecten muscosus,
1534,Afrocominella capensis,
1536,Afrocominella turtoni,
1539,Amatholedonta bimunita,
1540,Afrodonta burnupi,
1543,Afrodonta inhluzaniensis,
1544,Afrodonta introtubertulata,
1546,Afrodonta perfida,
1547,Afrodonta unilamellaris,
1549,Afrorhytida burseyae,
1550,Afrorhytida knysnaensis,
1551,Afrorhytida kraussi,
1552,Afrorhytida trimeni,
1577,Amanea minor,
1579,Amblema costata,
1580,Amblema perplicata,
1582,Amblychilepas cheminitzii,
1587,Amesodesma angusta,
1588,Amnicola zonata,
1598,Amphidesma australe,
1601,Amphidesma ventricosum,
1607,Anachis atrata,
1608,Anachis burnupi,
1609,Anachis consanguinea,
1610,Anachis kraussi,
1612,Anachis lightfooti,
1614,Anachis sparsa,
1615,Anachis stimpsoni,
1616,Anachis troglodytes,
1617,Anachis veleda,
1628,Anadara ovalis,
1629,Anadara senilis,
1630,Anadara subcrenata,
1632,Anadara trapezia,
1637,Ancilla apicalis,
1638,Ancilla australis,
1641,Ancilla contusa,
1644,Ancilla glabrata,
1645,Ancilla marginata,
1647,Ancilla mucronata,
1648,Ancilla obesa,
1649,Ancilla oblonga,
1650,Ancilla obtusa,
1651,Ancilla optima,
1652,Ancilla reevei,
1653,Ancilla similis,
1654,Ancistrosyrinx radiata,
1655,Angaria atrata,
1658,Angaria laciniata,
1660,Angulus gaimardi,
1662,Angulus tenuis,
1663,Anisodiloma lugubris,
1672,Anomalocardia rostrata,
1676,Anomia descripta,
