taxonid,fullname,Author,source
1471,Abarbatia pistachia,,
1473,Acanthina brevidentata,"(Wood, 1828)",MCZbase
1474,Acanthina lapilloides,"(Conrad, 1837)",Catalogue of Life
1477,Acanthina muricata,"(Sowerby, 1835)",MCZbase
1480,Acanthina tuberculata,"(G. B. Sowerby I, 1835)",Catalogue of Life
1487,Acera soluta,,
1509,Acrosterigma flavum,"(Linnaeus, 1758)",Catalogue of Life
1510,Actaeopyramis natalensis,,
1511,Acteocina avanaria,,
1512,Acteocina belli,,
1514,Acteocina meridionalis,,
1516,Acteon punctocaelatus,"(Carpenter, 1864)",Catalogue of Life
1517,Actinonaias carinata,"(Barnes, 1823)",WoRMS
1521,Aeolidiella indica,"Bergh, 1888",Catalogue of Life
1522,Aequipecten circularis,"(Sowerby, 1835)",
1523,Aequipecten gibbus,"(Linnaeus, 1758)",ITIS
1524,Aequipecten irradians,"(Lamarck, 1819)",ITIS
1525,Aequipecten muscosus,"(W. Wood, 1828)",Catalogue of Life
1534,Afrocominella capensis,"(Dunker, 1844)",Catalogue of Life
1536,Afrocominella turtoni,"(Bartsch, 1915)",Catalogue of Life
1539,Amatholedonta bimunita,"(Connolly, 1939)",Catalogue of Life
1540,Afrodonta burnupi,"Connolly, 1933",Catalogue of Life
1543,Afrodonta inhluzaniensis,"(Burnup, 1912)",Catalogue of Life
1544,Afrodonta introtubertulata,,
1546,Afrodonta perfida,"(Burnup, 1912)",Catalogue of Life
1547,Afrodonta unilamellaris,"Connolly, 1933",Catalogue of Life
1549,Afrorhytida burseyae,"Herbert & Moussalli, 2010",Catalogue of Life
1550,Afrorhytida knysnaensis,"(L. Pfeiffer, 1846)",Catalogue of Life
1551,Afrorhytida kraussi,"(L. Pfeiffer, 1846)",Catalogue of Life
1552,Afrorhytida trimeni,"(Melvill & Ponsonby, 1892)",Catalogue of Life
1577,Amanea minor,,
1579,Amblema costata,"Rafinesque, 1820",Catalogue of Life
1580,Amblema perplicata,"(Conrad, 1841)",Catalogue of Life
1582,Amblychilepas cheminitzii,,
1587,Amesodesma angusta,,
1588,Amnicola zonata,"Amnicola (Amnicola) zonata (Eichwald, 1850)",Catalogue of Life
1598,Amphidesma australe,"G. B. Sowerby I, 1833",Catalogue of Life
1601,Amphidesma ventricosum,"C. B. Adams, 1852",Catalogue of Life
1607,Anachis atrata,"(Gould, 1860)",Catalogue of Life
1608,Anachis burnupi,"(E. A. Smith, 1901)",Catalogue of Life
1609,Anachis consanguinea,"(G. B. Sowerby III, 1897)",Catalogue of Life
