taxonid,fullname,Author
1472,Acanthina angelica,"I.M. Oldroyd, 1918"
1475,Acanthina lugubris,"J. de C. Sowerby, 1821"
1476,Acanthina monodon,"(P.S. Pallas, 1774)"
1478,Acanthina paucilirata,"(R.E.C. Stearns, 1871)"
1479,Acanthina spirata,"(H.M.D. de Blainville, 1832)"
1481,Acanthocardia echinata,"(C. Linnaeus, 1758)"
1482,Acanthochitona garnoti,"(H.M.D. de Blainville, 1825)"
1483,Acanthochitona spiculosa,"L.A. Reeve, 1847"
1484,Acanthopleura granulata,"(J.F. Gmelin, 1791)"
1485,Acavus phoenix,"L. Pfeiffer, 1854"
1486,Acavus superbus,"L. Pfeiffer, 1850"
1488,Achatina immaculata,"Lamarck, 1821"
1490,Lottia antillarum,"G.B. I Sowerby, 1831"
1491,Lottia asmi,"(Middendorff, 1847)"
1492,Nipponacmea concinna,"(Lischke, 1870)"
1493,Lottia digitalis,"(Rathke, 1833)"
1495,Lottia fenestrata,"L.A. Reeve, 1855"
1498,Discurria insessa,"(Hinds, 1842)"
1499,Lottia limatula,"(Carpenter, 1864)"
1500,Patelloida maraisi,"(R.N. Kilburn, 1977)"
1501,Acmaea mitra,"Eschscholtz, 1833"
1502,Notoacmea parviconoidea,"(Suter, 1907)"
1503,Lottia pelta,"(Rathke, 1833)"
1504,Lottia persona,"(Rathke, 1833)"
1505,Lottia scabra,"(Gould, 1846)"
1506,Lottia scutum,"(Rathke, 1833)"
1507,Patelloida striata,"Quoy & Gaimard, 1834"
1508,Testudinalia testudinalis,"Müller, 1776"
1513,Acteocina fusiformis,"A. Adams, 1850"
1515,Acteocina smithi,"P. Bartsch, 1915"
1518,Adelomelon beckii,"(W.J. Broderip, 1836)"
1519,Adelomelon brasiliana,"(J.B.P.A. Lamarck, 1811)"
1520,Terua arcuatilis,"Dell, 1995"
1526,Aequipecten opercularis,"(C. Linnaeus, 1758)"
1527,Afer africanus,"(G.B. III Sowerby, 1897)"
1528,Afer cumingii,"(L.A. Reeve, 1847)"
1529,Afritrophon agulhasensis,"(K.H.J. Thiele, 1925)"
1530,Afritrophon insignis,"(G.B. III Sowerby, 1900)"
1531,Afritrophon kowieensis,"(G.B. III Sowerby, 1901)"
1532,Afrivoluta pringlei,"J.R. le B. Tomlin, 1947"
1533,Afrocardium shepstonense,"Tomlin, 1931"
1535,Afrocominella elongata,"R.W. Dunker, 1857"
1537,Afroconulus diaphanus,"(Connolly, 1922)"
1538,Afrodonta bilamellaris,"Melvill & Ponsonby, 1908"
1541,Afrodonta connollyi,"G.A. Solem, 1970"
1542,Afrodonta farquhari,"(Burnup, 1912)"
1545,Afrodonta novemlamellaris,"(Burnup, 1912)"
1548,Afroguppya rumrutiensis,"(H.B. Preston, 1911)"
1553,Agagus agagus,"F.P. Jousseaume, 1894"
1554,Agaronia acuminata,"(J.B.P.A. Lamarck, 1811)"
1555,Agaronia testacea,"(J.B.P.A. Lamarck, 1811)"
1556,Akera soluta,"(J.F. Gmelin, 1791)"
1557,Alcira elegans,"H. Adams, 1861"
1558,Alcithoe arabica,"(J.F. Gmelin, 1791)"
1559,Alcithoe swainsoni,"J. Marwick, 1926"
1560,Alvania argentea,"(G.B. III Sowerby, 1892)"
1561,Alvania fenestrata,"(C.F.F. von Krauss, 1848)"
1562,Amaea magnifica,"Sowerby, 1844"
1563,Amaea minor,"de Boury, 1921"
1564,Amalda australis,"(G.B. I Sowerby, 1830)"
1565,Amalda bullioides,"(L.A. Reeve, 1864)"
1566,Amalda contusa,"(L.A. Reeve, 1864)"
1567,Amalda jenneri,"R.N. Kilburn, 1977"
1568,Amalda lemaitrei,"R.N. Kilburn, 1993"
1569,Amalda mucronata,"(G.B. I Sowerby, 1830)"
1570,Amalda novaezelandiae,"(G.B. II Sowerby, 1859)"
1571,Amalda obesa,"(G.B. II Sowerby, 1859)"
1572,Amalda obtusa,"(W.J. Swainson, 1825)"
1573,Amalda optima,"(G.B. III Sowerby, 1897)"
1574,Amalda reevei,"(E.A. Smith, 1904)"
1575,Amalda similis,"(G.B. II Sowerby, 1859)"
1576,Amalda trachyzonus,"R.N. Kilburn, 1975"
1578,Amarilladesma mactroides,"(L.A. Reeve, 1854)"
1581,Amblema peruviana,"J.B.P.A. Lamarck, 1819"
1583,Amblychilepas dubia,"(L.A. Reeve, 1849)"
1584,Amblychilepas oblonga,"Menke, 1843"
1585,Amblychilepas platyactis,"J.H. McLean & R.N. Kilburn, 1986"
1589,Amoria caroli,"T. Iredale, 1924"
