taxonid,fullname,currentAuthor,suggestedAuthor,source
1472,Acanthina angelica,"I.M. Oldroyd, 1918","Oldroyd, 1918",Catalogue of Life
1475,Acanthina lugubris,"J. de C. Sowerby, 1821","(G. B. Sowerby I, 1822)",Catalogue of Life
1476,Acanthina monodon,"(P.S. Pallas, 1774)","(Pallas, 1774)",Catalogue of Life
1478,Acanthina paucilirata,"(R.E.C. Stearns, 1871)","(Stearns, 1871)",Catalogue of Life
1479,Acanthina spirata,"(H.M.D. de Blainville, 1832)","(Blainville, 1832)",Catalogue of Life
1481,Acanthocardia echinata,"(C. Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
1482,Acanthochitona garnoti,"(H.M.D. de Blainville, 1825)","(Blainville, 1825)",Catalogue of Life
1483,Acanthochitona spiculosa,"L.A. Reeve, 1847","(Reeve, 1847)",WoRMS
1484,Acanthopleura granulata,"(J.F. Gmelin, 1791)","(Gmelin, 1791)",Catalogue of Life
1485,Acavus phoenix,"L. Pfeiffer, 1854","(L. Pfeiffer, 1854)",Catalogue of Life
1486,Acavus superbus,"L. Pfeiffer, 1850","(L. Pfeiffer, 1850)",Catalogue of Life
1488,Achatina immaculata,"Lamarck, 1821","Achatina (Lissachatina) immaculata Lamarck, 1822",Catalogue of Life
1490,Lottia antillarum,"G.B. I Sowerby, 1831","G. B. Sowerby I, 1834",Catalogue of Life
1491,Lottia asmi,"(Middendorff, 1847)","(Middendorff, 1848)",Catalogue of Life
1492,Nipponacmea concinna,"(Lischke, 1870)","(Lischke, 1870)",Catalogue of Life
1493,Lottia digitalis,"(Rathke, 1833)","(Rathke, 1833)",Catalogue of Life
1495,Lottia fenestrata,"L.A. Reeve, 1855","(Reeve, 1855)",Catalogue of Life
1498,Discurria insessa,"(Hinds, 1842)","(Hinds, 1842)",Catalogue of Life
1499,Lottia limatula,"(Carpenter, 1864)","(Carpenter, 1864)",Catalogue of Life
1500,Patelloida maraisi,"(R.N. Kilburn, 1977)","(Kilburn, 1977)",Catalogue of Life
1501,Acmaea mitra,"Eschscholtz, 1833","Rathke, 1833",Catalogue of Life
1502,Notoacmea parviconoidea,"(Suter, 1907)","(Suter, 1907)",Catalogue of Life
1503,Lottia pelta,"(Rathke, 1833)","(Rathke, 1833)",Catalogue of Life
1504,Lottia persona,"(Rathke, 1833)","(Rathke, 1833)",Catalogue of Life
1505,Lottia scabra,"(Gould, 1846)","(Gould, 1846)",Catalogue of Life
1506,Lottia scutum,"(Rathke, 1833)","(Rathke, 1833)",Catalogue of Life
1507,Patelloida striata,"Quoy & Gaimard, 1834","Quoy & Gaimard, 1834",Catalogue of Life
1508,Testudinalia testudinalis,"Müller, 1776","(O. F. Müller, 1776)",Catalogue of Life
1513,Acteocina fusiformis,"A. Adams, 1850","A. Adams, 1850",Catalogue of Life
1515,Acteocina smithi,"P. Bartsch, 1915","Bartsch, 1915",Catalogue of Life
1518,Adelomelon beckii,"(W.J. Broderip, 1836)","(Broderip, 1836)",Catalogue of Life
1519,Adelomelon brasiliana,"(J.B.P.A. Lamarck, 1811)",Lam.,MCZbase
1520,Terua arcuatilis,"Dell, 1995","(Dell, 1995)",Catalogue of Life
1526,Aequipecten opercularis,"(C. Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
1527,Afer africanus,"(G.B. III Sowerby, 1897)","(G. B. Sowerby III, 1897)",Catalogue of Life
1528,Afer cumingii,"(L.A. Reeve, 1847)","(Reeve, 1848)",Catalogue of Life
1529,Afritrophon agulhasensis,"(K.H.J. Thiele, 1925)","(Thiele, 1925)",Catalogue of Life
1530,Afritrophon insignis,"(G.B. III Sowerby, 1900)","(G. B. Sowerby III, 1900)",Catalogue of Life
1531,Afritrophon kowieensis,"(G.B. III Sowerby, 1901)","(G. B. Sowerby III, 1901)",Catalogue of Life
1532,Afrivoluta pringlei,"J.R. le B. Tomlin, 1947","Tomlin, 1947",Catalogue of Life
1533,Afrocardium shepstonense,"Tomlin, 1931","(Tomlin, 1931)",Catalogue of Life
1535,Afrocominella elongata,"R.W. Dunker, 1857","(Dunker, 1857)",Catalogue of Life
1537,Afroconulus diaphanus,"(Connolly, 1922)","(Connolly, 1922)",Catalogue of Life
1538,Afrodonta bilamellaris,"Melvill & Ponsonby, 1908","Melvill & Ponsonby, 1908",Catalogue of Life
1541,Afrodonta connollyi,"G.A. Solem, 1970","Solem, 1970",Catalogue of Life
1542,Afrodonta farquhari,"(Burnup, 1912)","(Burnup, 1912)",Catalogue of Life
1545,Afrodonta novemlamellaris,"(Burnup, 1912)","(Burnup, 1912)",Catalogue of Life
1548,Afroguppya rumrutiensis,"(H.B. Preston, 1911)","(Preston, 1911)",Catalogue of Life
1553,Agagus agagus,"F.P. Jousseaume, 1894","Jousseaume, 1894",Catalogue of Life
1554,Agaronia acuminata,"(J.B.P.A. Lamarck, 1811)","(Lamarck, 1811)",Catalogue of Life
1555,Agaronia testacea,"(J.B.P.A. Lamarck, 1811)","(Lamarck, 1811)",Catalogue of Life
1556,Akera soluta,"(J.F. Gmelin, 1791)","(Gmelin, 1791)",Catalogue of Life
1557,Alcira elegans,"H. Adams, 1861","H. Adams, 1861",Catalogue of Life
1558,Alcithoe arabica,"(J.F. Gmelin, 1791)","(Gmelin, 1791)",Catalogue of Life
1559,Alcithoe swainsoni,"J. Marwick, 1926","Alcithoe (Alcithoe) swainsoni Marwick, 1926",Catalogue of Life
1560,Alvania argentea,"(G.B. III Sowerby, 1892)","(G. B. Sowerby III, 1892)",Catalogue of Life
1561,Alvania fenestrata,"(C.F.F. von Krauss, 1848)","(F. Krauss, 1848)",Catalogue of Life
1562,Amaea magnifica,"Sowerby, 1844","(G. B. Sowerby II, 1844)",Catalogue of Life
1563,Amaea minor,"de Boury, 1921","Amaea (Acrilla) minor (G. B. Sowerby II, 1873)",Catalogue of Life
1564,Amalda australis,"(G.B. I Sowerby, 1830)","(G. B. Sowerby I, 1830)",Catalogue of Life
