dwc:occurrenceID,dwc:basisOfRecord,dcterms:modified,dwc:institutionCode,dwc:collectionCode,dwc:catalogNumber,dwc:otherCatalogNumbers,dwc:recordNumber,dwc:recordedBy,dwc:preparations,dwc:kingdom,dwc:phylum,dwc:class,dwc:order,dwc:family,dwc:genus,dwc:specificEpithet,dwc:infraspecificEpithet,dwc:scientificName,dwc:scientificNameAuthorship,dwc:taxonRank,dwc:taxonomicStatus,dwc:typeStatus,dwc:identifiedBy,dwc:dateIdentified,dwc:identificationRemarks,dwc:verbatimCoordinates,dwc:locality,dwc:decimalLatitude,dwc:decimalLongitude,dwc:georeferencedBy,dwc:georeferencedDate,dwc:georeferenceProtocol,dwc:georeferenceRemarks,dwc:verbatimEventDate,dwc:eventDate,dwc:year,dwc:month,dwc:day,dwc:samplingProtocol,dwc:eventRemarks,dwc:occurrenceRemarks
{EACA5E70-7304-4DB8-A719-1C2B4A7BCECE},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,870,,CR 185,"Reid, C.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Colubridae,Crotaphopeltis,hotamboeia,,"Crotaphopeltis hotamboeia (Laurenti, 1768)","(Laurenti, 1768)",species,accepted,,,,Determination Name verified: A.J.L. Lambiris |OrigCatName: Crotaphopeltis hotamboeia|1961CatName: Crotaphopeltis hotamboeia,,"Bluff, end of the Bluff",,,,,,,1985/07/14|1985.07.14,1985-07-14,1985,07,14,,,Presented by Clive Reid
{9C9E5682-6379-40E9-A769-45FF794BDADF},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,51,OrigCatNum: 51 [S],,"Raw, L.R.G.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Lamprophiidae,Lycophidion,,capense,Lycophidion capense capense,,subspecies,accepted,,,,Determination Name verified: A.J.L. Lambiris |OrigCatName: Lycophidion capense capense|1961CatName: Lycophidion capense capense,,Hillary,,,,,,,1961/08/28|1961.07.28,1961-07-28,1961,07,28,,,
{05A654F7-1DB8-44AC-9460-E6B12B37607B},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,440,,,"Jelie, B.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Lygodactylus,,capensis,Lygodactylus capensis capensis,,subspecies,accepted,,,,Determination Name verified: A.J.L. Lambiris  2016/12/07|OrigCatName: Lygodactylus capensis|1961CatName: Lygodactylus capensis,,Durban,,,,,,,1974/10/10|1974.x.10,1974-10-10,1974,10,10,,,
{63C37003-06E4-4D15-8265-73CA26BB9E55},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,425,OrigCatNum: 72 [L],,"Mercer, R.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Gerrhosauridae,Gerrhosaurus,flavigularis,,"Gerrhosaurus flavigularis Wiegmann, 1828","Wiegmann, 1828",species,accepted,,"Bates, M.F.",2014-04-04,Determination Name verified: A.J.L. Lambiris  2017/03/08|OrigCatName: Gerrhosaurus flavigularis flavigularis|1961CatName: Gerrhosaurus flavigularis flavigularis,,Natal,,,,,,,,,,,,,,
{B8D78153-56A4-4B00-A430-8550462834BA},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,416,OrigCatNum: 130 [L],,"Bourquin, O.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Afroedura,pondolia,,"Afroedura pondolia (Hewitt, 1925)","(Hewitt, 1925)",species,accepted,,"Bates, M.F.",2014-06-27,Determination Name verified: A.J.L. Lambiris  2016/10/26|1961CatName: Afroedura pondolia pondolia,,Umtwalumi,,,,,,,1961/06/01|1961.vi,1961-06,1961,06,,,,
{3E3F9695-F4E9-4DE3-A6C8-93839A16FC19},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,777,,CR 138,"Reid, C.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Colubridae,Crotaphopeltis,hotamboeia,,"Crotaphopeltis hotamboeia (Laurenti, 1768)","(Laurenti, 1768)",species,accepted,,,,Determination Name verified: A.J.L. Lambiris |OrigCatName: Crotaphopeltis hotamboeia|1961CatName: Crotaphopeltis hotamboeia,29.922778° S 30.996493° E,"Wentworth, 107 Assembly Road",-29.9227780000,30.9964930000,"Richards, L.R.",Thu May 25 2017 00:00:00 GMT+0200 (South Africa Standard Time),,,1985/06/09|1985.vi.9,1985-06-09,1985,06,09,,,Presented by Clive Reid
{50285A4D-BC4B-4B3C-88A4-614CB563CFE5},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,551,,CR 23,"Reid, C.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Viperidae,Causus,rhombeatus,,"Causus rhombeatus (Lichtenstein, 1823)","(Lichtenstein, 1823)",species,accepted,,,,Determination Name verified: A.J.L. Lambiris |1961CatName: Causus rhombeatus,,Umhloti Beach,,,,,,,1985/03/21|1985.iii.21,1985-03-21,1985,03,21,,,
{DE3C6080-D040-4EBA-8FCA-D52F65865DBA},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,703,,CR 126,"Reid, C.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Lamprophiidae,Boaedon,capensis,,"Boaedon capensis Duméril, Bibron & Duméril, 1854","Duméril, Bibron & Duméril, 1854",species,accepted,,,,Determination Name verified: A.J.L. Lambiris |OrigCatName: Lamprophis fuliginous|1961CatName: Lamprophis fuliginous,29.785742° S 31.041142° E,"Durban North, Swapo (Broadway) Road",-29.7857420000,31.0411420000,"Richards, L.R.",Mon Jun 26 2017 00:00:00 GMT+0200 (South Africa Standard Time),,,1985/06/04|1985.vi.4,1985-06-04,1985,06,04,,,Presented by Clive Reid
{35013CCB-9609-4C19-9962-879C7656DC12},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,1290,,CR 58,"Reid, C.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,mabouia,,"Hemidactylus mabouia (Moreau De Jonnès, 1818)","(Moreau De Jonnès, 1818)",species,accepted,,"Lambiris, A.J.",2016-10-13,Determined by: A.J.L. Lambiris|Determination Name verified: A.J.L. Lambiris  2016/11/02|1961CatName: Hemidactylus mabouia,29.845014° S 31.035700° E,"North Beach, Mini Town, 114 Snell Parade",-29.8450140000,31.0357000000,"Richards, L.R.",Fri Jun 30 2017 00:00:00 GMT+0200 (South Africa Standard Time),,,1985/07/13|1985.07.13,1985-07-13,1985,07,13,,,Presented by Clive Reid
{AF5A490E-1F69-49DE-9EC7-CD4158E24BEA},PreservedSpecimen,2017-12-12T05:40:24.000Z,DMSA,DMSA_REP,1018,,GA 328,"Alexander, G.",1 Ethanol (whole animal),Animalia,Chordata,Reptilia,Squamata,Scincidae,Scelotes,inornatus,,"Scelotes inornatus Smith, 1849","Smith, 1849",species,accepted,,"Broadley, D.G.",1993-04-09,Determination Name verified: A.J.L. Lambiris  2016/12/29|OrigCatName: Scelotes inornatus inornatus|1961CatName: Scelotes inornata,29.926899° S 31.000338° E,"Wentworth, intersection of Aurora and Postlooper Roads",-29.9268990000,31.0003380000,"Richards, L.R.",Fri Jun 30 2017 00:00:00 GMT+0200 (South Africa Standard Time),,,1985/09/04|1985.09.4,1985-09-04,1985,09,04,,,Presented by Graham Alexander
